,model,fuel,km_driven,resale_val
0,2009,Petrol + CNG,"67,220","111,61,000"
1,2016,Diesel,"80,257","115,10,000"
2,2008,Petrol,"90,417","111,54,000"
3,2015,Diesel,"74,684","114,09,374"
4,2015,Diesel,"40,048","114,81,000"
5,2010,Petrol,"64,244","112,09,000"
6,2015,Diesel,"88,628","115,05,000"
7,2011,Petrol,"46,616","112,10,850"
8,2009,Petrol + CNG,"1,75,616","111,95,000"
9,2010,Petrol + CNG,"92,833","111,90,422"
10,2011,Diesel,"94,126","112,80,000"
11,2009,Diesel,"1,76,381","111,70,000"
12,2013,Diesel,"1,08,338","113,62,000"
13,2016,Diesel,"63,781","115,64,095"
14,2014,Diesel,"1,64,088","113,40,000"
15,2017,Diesel,"1,82,889","115,31,000"
16,2014,Diesel,"1,16,399","114,07,000"
17,2014,Diesel,"2,37,583","113,70,343"
18,2014,Diesel,"1,02,040","114,01,000"
19,2010,Diesel,"65,242","112,25,000"
20,2012,Petrol + CNG,"1,25,444","112,73,009"
21,2011,Diesel,"96,366","112,45,200"
22,2017,Diesel,"1,38,657","115,22,000"
23,2012,Diesel,"78,000","112,85,000"
24,2014,Diesel,"1,10,764","114,24,000"
25,2015,Diesel,"1,51,433","112,79,000"
26,2009,Diesel,"1,47,506","111,70,000"
27,2008,Petrol + CNG,"1,36,824","112,50,000"
28,2015,Diesel,"99,682","113,51,000"
29,2012,Diesel,"2,50,334","112,71,000"
30,2011,Diesel,"70,089","112,70,000"
31,2014,Petrol,"1,15,000","114,80,000"
32,2009,Petrol,"1,13,912","111,40,000"
33,2008,Diesel,"3,59,081","111,58,000"
34,2018,Diesel,"35,000","116,50,000"
35,2014,Diesel,"62,028","114,40,000"
36,2011,Diesel,"81,714","112,11,000"
37,2012,Diesel,"78,000","113,35,000"
38,2012,Petrol,"40,232","113,85,000"
39,2014,Diesel,"67,975","113,15,094"
40,2015,Diesel,"1,03,084","114,50,000"
41,2015,Diesel,"79,479","115,45,000"
42,2017,Diesel,"37,800","117,20,000"
43,2011,Petrol + CNG,"13,377","113,50,000"
44,2009,Diesel,"83,887","111,80,000"
45,2015,Petrol + CNG,"66,343","114,50,000"
46,2013,Petrol,"9,475","114,75,000"
47,2014,Diesel,"88,394","114,63,570"
48,2014,Diesel,"98,020","114,50,000"
49,2009,Diesel,"1,44,235","112,10,000"
50,2013,Petrol,"72,808","112,70,000"
51,2012,Diesel,"68,721","112,45,000"
52,2008,Petrol + CNG,"66,416","112,26,000"
53,2012,Diesel,"2,85,916","112,40,000"
54,2009,Petrol + CNG,"77,255","111,98,000"
