,model,fuel,km_driven,resale_val
0,2009,Petrol,"75,753","2,57,084"
1,2013,Diesel,"1,17,316","3,60,462"
2,2014,Petrol,"46,011","3,78,500"
3,2012,Diesel,"61,997","3,97,300"
4,2013,Diesel,"83,131","3,38,800"
5,2010,Petrol + CNG,"1,06,868","2,02,500"
6,2011,Diesel,"1,16,496","2,21,000"
7,2013,Diesel,"1,17,316","3,30,200"
8,2013,Petrol,"39,683","4,14,200"
9,2014,Diesel,"62,497","4,55,900"
10,2012,Diesel,"1,04,281","3,62,300"
11,2008,Petrol,"1,18,281","1,57,000"
12,2017,Diesel,"98,160","5,69,100"
13,2013,Diesel,"33,814","4,25,100"
14,2016,Diesel,"55,500","4,37,000"
15,2015,Diesel,"48,169","4,48,500"
16,2012,Diesel,"43,974","3,76,000"
17,2012,Petrol,"72,617","2,97,000"
18,2015,Petrol + CNG,"86,754","3,68,000"
19,2009,Petrol,"62,332","1,99,940"
20,2014,Petrol,"25,127","4,39,100"
21,2009,Petrol,"62,260","1,80,000"
22,2011,Diesel,"1,36,581","1,20,958"
23,2012,Petrol + CNG,"77,524","3,45,471"
24,2011,Petrol + CNG,"1,10,951","2,00,000"
25,2012,Diesel,"81,308","3,23,431"
26,2014,Diesel,"1,23,509","2,80,000"
27,2015,Petrol,"17,000","5,50,000"
28,2013,Diesel,"29,702","3,25,000"
29,2012,Diesel,"76,109","2,92,000"
30,2012,Diesel,"83,169","3,87,000"
31,2014,Diesel,"2,70,328","3,00,000"
32,2013,Diesel,"1,81,738","2,34,000"
33,2012,Diesel,"1,05,524","2,00,000"
34,2013,Diesel,"85,026","3,00,000"
35,2011,Petrol,"57,607","2,00,000"
36,2008,Diesel,"1,32,778","2,06,000"
37,2017,Petrol,"28,565","4,32,000"
38,2013,Diesel,"28,531","3,34,000"
39,2008,Petrol,"1,02,945","1,00,000"
40,2013,Diesel,"91,985","2,40,000"
41,2013,Diesel,"86,938","2,65,000"
42,2011,Diesel,"1,28,479","2,25,000"
43,2015,Diesel,"64,686","3,60,000"
44,2015,Diesel,"88,153","2,60,000"
45,2009,Petrol,"40,930","1,90,000"
46,2012,Diesel,"1,11,117","1,61,000"
47,2011,Petrol,"40,734","1,80,000"
48,2017,Diesel,"16,518","5,35,000"
49,2011,Petrol + CNG,"89,269","1,90,000"
50,2014,Petrol,"46,455","3,83,341"
51,2012,Diesel,"1,47,939","2,55,200"
52,2010,Diesel,"1,08,804","1,25,000"
53,2009,Petrol,"75,817","1,25,000"
54,2012,Diesel,"87,090","3,25,000"
55,2015,Diesel,"69,797","4,30,000"
56,2013,Diesel,"59,707","4,15,000"
57,2010,Petrol + CNG,"82,682","1,70,000"
58,2016,Diesel,"65,181","3,95,000"
59,2010,Petrol,"46,825","2,25,000"
60,2014,Diesel,"42,085","3,50,000"
61,2011,Diesel,"1,50,793","1,85,482"
62,2015,Diesel,"64,713","3,45,000"
63,2012,Diesel,"94,241","2,80,000"
64,2012,Diesel,"1,00,312","2,13,000"
65,2015,Petrol,"91,995","4,01,000"
66,2015,Petrol,"36,418","4,00,000"
67,2012,Diesel,"1,12,294","4,00,000"
68,2015,Diesel,"59,226","3,80,000"
69,2011,Petrol + CNG,"62,300","1,70,000"
70,2013,Petrol,"60,000","3,50,000"
71,2014,Diesel,"86,434","4,66,000"
72,2012,Petrol,"75,136","3,10,000"
73,2012,Diesel,"66,101","3,20,000"
74,2014,Diesel,"64,440","2,86,891"
75,2008,Diesel,"79,548","1,50,000"
76,2011,Diesel,"84,771","2,84,000"
77,2014,Petrol,"35,218","2,71,000"
78,2013,Diesel,"91,546","2,30,000"
79,2013,Petrol + CNG,"74,583","3,10,000"
80,2008,Petrol,"42,582","1,70,000"
81,2013,Petrol,"45,053","2,93,000"
82,2009,Petrol + CNG,"70,846","1,70,000"
83,2009,Petrol,"1,21,363","1,25,000"
84,2014,Diesel,"1,48,089","3,00,000"
85,2012,Petrol,"77,625","2,80,000"
86,2012,Diesel,"1,53,172","2,30,000"
87,2010,Diesel,"2,71,437","1,40,000"
88,2014,Petrol,"45,820","3,70,000"
89,2012,Diesel,"1,07,606","2,17,000"
90,2015,Diesel,"79,408","3,49,000"
91,2011,Petrol + CNG,"1,32,356","1,70,000"
92,2015,Diesel,"74,280","3,30,000"
93,2016,Petrol,"73,268","3,50,000"
94,2011,Diesel,"2,17,939","1,25,000"
95,2012,Diesel,"1,23,102","1,95,000"
96,2013,Diesel,"89,224","2,90,000"
97,2013,Diesel,"57,051","2,50,000"
98,2012,Petrol + CNG,"1,09,245","2,80,000"
99,2014,Diesel,"1,28,958","3,70,000"
100,2013,Diesel,"1,21,926","3,50,000"
101,2014,Diesel,"1,03,523","3,60,000"
102,2014,Diesel,"75,592","3,50,000"
103,2011,Petrol,"65,645","2,15,000"
104,2013,Diesel,"1,53,348","2,50,000"
105,2014,Diesel,"39,293","3,20,000"
106,2012,Petrol,"67,184","2,60,000"
107,2015,Diesel,"72,030","3,90,000"
108,2015,Petrol,"41,348","3,54,000"
109,2013,Diesel,"91,327","3,25,000"
110,2016,Diesel,"1,55,983","3,93,230"
111,2010,Petrol + CNG,"96,315","2,30,000"
112,2016,Diesel,"86,722","4,10,000"
113,2015,Diesel,"64,258","4,50,000"
114,2012,Diesel,"97,857","2,55,000"
115,2013,Diesel,"1,18,480","3,20,000"
116,2011,Petrol + CNG,"1,04,445","1,50,000"
117,2014,Diesel,"69,073","3,60,000"
118,2015,Diesel,"70,086","4,00,000"
119,2012,Petrol,"28,899","2,60,000"
120,2014,Diesel,"68,147","3,00,000"
121,2014,Diesel,"35,510","3,50,000"
122,2013,Diesel,"1,04,044","2,71,000"
123,2011,Petrol + CNG,"1,58,397","1,47,000"
124,2012,Petrol,"45,343","4,00,000"
125,2015,Petrol + CNG,"56,493","3,35,000"
126,2015,Diesel,"1,46,059","3,80,000"
127,2012,Diesel,"1,22,904","3,50,000"
128,2016,Diesel,"90,630","5,00,000"
