,model,fuel,km_driven,resale_val
0,2017,Diesel,"67,246","5,30,000"
1,2011,Diesel,"79,813","3,00,000"
2,2010,Diesel,"1,87,778","1,70,000"
3,2012,Petrol,"6,010","4,00,000"
4,2013,Diesel,"48,762","3,50,000"
5,2016,Petrol,"38,416","4,55,000"
6,2013,Diesel,"1,28,157","3,50,000"
7,2015,Diesel,"48,000","4,20,000"
8,2014,Petrol,"33,800","4,50,000"
9,2015,Diesel,"1,35,000","3,15,000"
10,2011,Petrol,"30,200","2,20,000"
11,2013,Petrol,"58,309","3,05,000"
12,2010,Diesel,"70,080","2,30,000"
13,2015,Diesel,"52,000","3,60,000"
14,2013,Diesel,"1,08,962","3,50,000"
15,2014,Diesel,"57,852","5,00,000"
16,2010,Petrol,"91,771","1,42,000"
17,2013,Diesel,"77,326","3,76,000"
18,2015,Petrol,"53,952","4,50,000"
19,2016,Petrol,"23,608","4,10,000"
20,2016,Petrol,"11,386","5,65,000"
21,2009,Petrol,"70,498","1,50,000"
22,2011,Petrol,"66,347","2,00,000"
23,2008,Diesel,"1,28,149","1,60,000"
24,2015,Diesel,"70,998","2,61,000"
25,2016,Petrol,"12,354","4,30,000"
26,2013,Petrol,"13,658","3,50,000"
27,2011,Petrol,"45,154","2,00,000"
28,2010,Petrol,"1,39,069","1,65,000"
29,2013,Petrol,"75,068","3,00,000"
30,2013,Petrol,"59,373","2,35,000"
31,2012,Diesel,"49,850","3,35,000"
32,2013,Petrol,"50,550","3,20,000"
33,2010,Petrol,"1,12,633","1,35,000"
34,2017,Diesel,"36,276","4,85,000"
35,2015,Diesel,"74,614","4,00,000"
36,2013,Diesel,"49,112","3,50,000"
37,2015,Petrol,"38,513","3,40,000"
38,2014,Diesel,"88,219","2,50,000"
39,2012,Diesel,"47,954","3,00,000"
40,2013,Diesel,"91,645","3,20,000"
41,2014,Diesel,"44,668","4,00,000"
42,2013,Petrol,"49,748","3,50,000"
43,2016,Diesel,"55,322","4,80,000"
44,2013,Diesel,"46,605","2,40,000"
45,2014,Petrol,"32,860","3,60,000"
46,2016,Diesel,"52,972","4,50,000"
47,2013,Diesel,"98,239","3,50,000"
48,2014,Petrol,"59,105","2,70,000"
49,2017,Petrol,"26,622","4,25,000"
50,2013,Petrol,"71,811","4,40,000"
51,2012,Petrol,"49,982","2,95,000"
52,2014,Petrol,"45,441","3,30,000"
53,2010,Diesel,"1,03,520","2,20,000"
54,2013,Petrol,"27,432","3,25,000"
55,2015,Diesel,"52,935","4,00,000"
56,2009,Petrol,"61,502","1,90,000"
57,2015,Diesel,"28,740","3,80,000"
58,2016,Diesel,"1,04,031","5,25,000"
59,2014,Diesel,"1,04,691","3,50,000"
60,2012,Diesel,"45,303","3,20,000"
61,2014,Petrol,"89,194","3,40,000"
62,2014,Diesel,"56,412","4,00,000"
63,2011,Diesel,"1,49,894","1,80,000"
64,2011,Petrol,"47,752","3,50,000"
65,2012,Diesel,"83,914","4,00,000"
66,2009,Diesel,"50,242","2,20,000"
67,2008,Petrol,"59,420","1,50,000"
68,2008,Diesel,"1,12,909","1,80,000"
69,2013,Diesel,"41,032","4,00,000"
70,2012,Petrol,"27,134","3,50,000"
71,2013,Diesel,"52,148","3,00,000"
72,2014,Diesel,"98,436","4,00,000"
73,2015,Petrol,"32,535","3,90,000"
74,2011,Diesel,"1,69,900","2,00,000"
