,model,fuel,km_driven,resale_val
0,2010,Petrol,"1,07,055","1,89,011"
1,2012,Diesel,"1,16,239","4,03,918"
2,2014,Petrol,"1,07,073","3,89,700"
3,2010,Petrol,"28,883","3,00,000"
4,2010,Petrol,"68,475","1,34,000"
5,2013,Petrol,"58,052","3,25,000"
6,2015,Diesel,"71,742","3,60,000"
7,2016,Diesel,"66,171","5,12,000"
8,2010,Petrol,"70,342","2,25,000"
9,2008,Diesel,"1,94,837","2,00,000"
10,2014,Petrol,"43,912","4,19,000"
11,2014,Diesel,"25,000","5,00,000"
12,2015,Diesel,"1,52,541","5,42,435"
13,2012,Diesel,"1,24,267","4,25,000"
14,2011,Petrol + CNG,"85,043","1,90,001"
15,2016,Petrol,"5,685","5,69,000"
16,2008,Diesel,"1,24,568","2,60,000"
17,2010,Petrol,"41,562","2,54,000"
18,2016,Diesel,"93,175","5,05,000"
19,2010,Diesel,"1,63,000","3,00,000"
20,2012,Petrol,"38,394","3,01,000"
21,2008,Diesel,"1,31,119","2,00,000"
22,2009,Petrol,"71,000","1,95,000"
23,2009,Petrol,"51,998","2,00,000"
24,2010,Diesel,"98,853","3,00,000"
25,2016,Petrol,"43,127","4,35,000"
26,2009,Petrol,"71,419","1,92,000"
27,2010,Petrol,"84,723","3,16,000"
28,2010,Petrol,"38,329","2,96,000"
29,2012,Petrol,"16,548","3,85,000"
30,2010,Diesel,"66,220","2,98,000"
31,2012,Diesel,"97,244","3,55,000"
32,2010,Petrol,"57,714","2,20,000"
33,2018,Petrol,"9,000","7,00,000"
34,2010,Diesel,"75,260","3,75,000"
35,2019,CNG,"40,000","6,75,000"
36,2014,Petrol,"20,589","3,60,000"
37,2015,Diesel,"1,35,000","3,25,000"
38,2015,Diesel,"78,504","3,48,042"
39,2016,Petrol,"34,948","4,50,000"
40,2013,Diesel,"1,06,282","4,50,000"
41,2010,Petrol,"62,055","2,00,000"
42,2012,Petrol + CNG,"59,935","3,25,000"
43,2009,Petrol + CNG,"76,696","2,22,000"
44,2012,Diesel,"36,653","3,98,000"
45,2010,Petrol,"80,326","2,75,000"
46,2010,Diesel,"1,17,567","3,00,000"
47,2015,Petrol,"45,333","4,25,589"
48,2015,Petrol,"51,064","4,10,000"
49,2010,Petrol,"1,03,077","1,90,000"
50,2010,Petrol,"66,000","2,25,000"
51,2012,Diesel,"62,537","2,60,000"
52,2008,Petrol,"1,01,282","1,40,000"
53,2014,Petrol,"29,873","4,50,000"
54,2012,Diesel,"1,05,047","3,90,000"
55,2009,Petrol + CNG,100,"1,75,000"
56,2016,Petrol,"7,800","5,00,000"
57,2010,Petrol,"88,619","2,00,000"
58,2013,Diesel,"48,986","4,00,000"
59,2013,Petrol,"38,522","3,10,000"
60,2011,Petrol + CNG,"1,30,014","1,95,000"
61,2012,Diesel,"46,022","4,08,000"
62,2014,Diesel,"56,611","3,75,000"
63,2016,Diesel,"97,000","5,00,000"
64,2011,Diesel,"1,04,255","2,90,000"
65,2013,Diesel,"1,48,624","4,00,000"
66,2012,Diesel,"1,00,256","3,99,000"
67,2011,Petrol,"22,389","2,50,000"
68,2008,Petrol + CNG,"78,279","1,54,000"
69,2016,Petrol,"30,672","5,10,000"
70,2009,Petrol,"83,615","2,56,000"
71,2010,Petrol + CNG,"90,378","1,80,000"
72,2013,Diesel,"41,225","4,50,000"
73,2009,Petrol,"31,112","2,20,000"
74,2009,Petrol,"45,886","2,20,000"
75,2009,Petrol,"60,802","2,25,000"
76,2012,Petrol,"70,185","3,50,000"
77,2011,Petrol + CNG,"1,07,113","1,75,000"
78,2011,Diesel,"1,10,968","3,18,000"
79,2009,Diesel,"89,253","3,45,000"
80,2010,Diesel,"3,06,601","2,50,000"
81,2010,Petrol,"42,810","2,24,000"
82,2014,Diesel,"45,609","4,49,000"
83,2013,Petrol,"52,301","5,13,053"
84,2013,Petrol,"49,408","3,25,000"
85,2010,Diesel,"1,61,407","2,75,000"
86,2011,Diesel,"1,27,865","3,10,000"
